,SK_ID_PREV,SK_ID_CURR,NAME_CONTRACT_TYPE,AMT_ANNUITY,AMT_APPLICATION,AMT_CREDIT,AMT_DOWN_PAYMENT,AMT_GOODS_PRICE,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,FLAG_LAST_APPL_PER_CONTRACT,NFLAG_LAST_APPL_IN_DAY,RATE_DOWN_PAYMENT,RATE_INTEREST_PRIMARY,RATE_INTEREST_PRIVILEGED,NAME_CASH_LOAN_PURPOSE,NAME_CONTRACT_STATUS,DAYS_DECISION,NAME_PAYMENT_TYPE,CODE_REJECT_REASON,NAME_TYPE_SUITE,NAME_CLIENT_TYPE,NAME_GOODS_CATEGORY,NAME_PORTFOLIO,NAME_PRODUCT_TYPE,CHANNEL_TYPE,SELLERPLACE_AREA,NAME_SELLER_INDUSTRY,CNT_PAYMENT,NAME_YIELD_GROUP,PRODUCT_COMBINATION,DAYS_FIRST_DRAWING,DAYS_FIRST_DUE,DAYS_LAST_DUE_1ST_VERSION,DAYS_LAST_DUE,DAYS_TERMINATION,NFLAG_INSURED_ON_APPROVAL
0,2802425,108129,Cash loans,25188.615,607500.0,679671.0,,607500.0,THURSDAY,11,Y,1,,,,XNA,Approved,-164,XNA,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Contact center,-1,XNA,36.0,low_action,Cash X-Sell: low,365243.0,-134.0,916.0,365243.0,365243.0,1.0
1,1168659,101529,Cash loans,,0.0,0.0,,,TUESDAY,11,Y,1,,,,XNA,Refused,-115,XNA,HC,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
2,2686051,101529,Cash loans,,0.0,0.0,,,TUESDAY,9,Y,1,,,,XNA,Canceled,-164,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
3,2833823,106086,Consumer loans,6232.725,58050.0,52245.0,5805.0,58050.0,FRIDAY,12,Y,1,0.1089090909090909,,,XAP,Approved,-1555,Cash through the bank,XAP,Unaccompanied,Repeater,Furniture,POS,XNA,Stone,135,Furniture,10.0,middle,POS industry with interest,365243.0,-1524.0,-1254.0,-1254.0,-1252.0,0.0
4,1665343,110713,Consumer loans,17769.735,143487.0,175549.5,0.0,143487.0,TUESDAY,13,Y,1,0.0,,,XAP,Approved,-1092,Cash through the bank,XAP,Family,Repeater,Audio/Video,POS,XNA,Country-wide,3000,Consumer electronics,12.0,middle,POS household with interest,365243.0,-1061.0,-731.0,-731.0,-722.0,0.0
5,1041414,107678,Consumer loans,,24480.0,24480.0,0.0,24480.0,SUNDAY,12,Y,1,0.0,,,XAP,Refused,-1252,Cash through the bank,LIMIT,,Repeater,Mobile,XNA,XNA,Country-wide,92,Connectivity,,XNA,POS mobile with interest,,,,,,
6,1891648,100373,Consumer loans,10872.99,115695.0,115119.0,11569.5,115695.0,SATURDAY,22,Y,1,0.099458413926499,,,XAP,Approved,-1053,Cash through the bank,XAP,Unaccompanied,New,Medicine,POS,XNA,Stone,25,Industry,12.0,low_normal,POS household with interest,365243.0,-1013.0,-683.0,-713.0,-709.0,0.0
7,1581859,105915,Revolving loans,2250.0,45000.0,45000.0,,45000.0,WEDNESDAY,14,Y,1,,,,XAP,Refused,-308,XNA,LIMIT,Unaccompanied,Refreshed,XNA,Cards,walk-in,Country-wide,50,Connectivity,0.0,XNA,Card Street,,,,,,
8,2283315,102649,Consumer loans,12540.6,60423.255,63414.0,1.755,60423.255,SUNDAY,15,Y,1,3.014005818356252e-05,,,XAP,Approved,-1452,Cash through the bank,XAP,Unaccompanied,New,Construction Materials,POS,XNA,Stone,463,Construction,6.0,high,POS industry with interest,365243.0,-1421.0,-1271.0,-1271.0,-1262.0,0.0
9,1348316,104826,Revolving loans,22500.0,450000.0,450000.0,,450000.0,MONDAY,14,Y,1,,,,XAP,Refused,-183,XNA,HC,Unaccompanied,Repeater,XNA,Cards,x-sell,Credit and cash offices,-1,XNA,0.0,XNA,Card X-Sell,,,,,,
