,SK_ID_CURR
0,100002
1,100003
2,100004
3,100006
4,100007
5,100008
6,100009
7,100010
8,100011
9,100012
10,100014
11,100015
12,100016
13,100017
14,100018
15,100019
16,100020
17,100021
18,100022
19,100023
20,100024
21,100025
22,100026
23,100027
24,100029
25,100030
26,100031
27,100032
28,100033
29,100034
30,100035
31,100036
32,100037
33,100039
34,100040
35,100041
36,100043
37,100044
38,100045
39,100046
40,100047
41,100048
42,100049
43,100050
44,100051
45,100052
46,100053
47,100054
48,100055
49,100056
50,100058
51,100059
52,100060
53,100061
54,100062
55,100063
56,100064
57,100068
58,100069
59,100070
60,100071
61,100072
62,100073
63,100075
64,100076
65,100077
66,100078
67,100079
68,100080
69,100081
70,100082
71,100083
72,100084
73,100085
74,100086
75,100087
76,100088
77,100089
78,100093
79,100094
80,100095
81,100096
82,100097
83,100098
84,100099
85,100100
86,100101
87,100102
88,100103
89,100104
90,100105
91,100108
92,100110
93,100111
94,100112
95,100113
96,100114
97,100115
98,100116
99,100118
100,100119
101,100120
102,100121
103,100122
104,100123
105,100124
106,100125
107,100126
108,100127
109,100129
110,100130
111,100131
112,100132
113,100133
114,100134
115,100135
116,100136
117,100137
118,100138
119,100139
120,100140
121,100142
122,100143
123,100144
124,100145
125,100146
126,100147
127,100148
128,100149
129,100151
130,100152
131,100153
132,100154
133,100155
134,100156
135,100157
136,100158
137,100159
138,100160
139,100161
140,100162
141,100163
142,100164
143,100165
144,100166
145,100167
146,100173
147,100174
148,100175
149,100176
150,100177
151,100178
152,100179
153,100180
154,100181
155,100182
156,100183
157,100185
158,100186
159,100188
160,100189
161,100190
162,100191
163,100192
164,100193
165,100194
166,100195
167,100196
168,100197
169,100198
170,100199
171,100200
172,100201
173,100202
174,100203
175,100204
176,100205
177,100206
178,100207
179,100208
180,100209
181,100210
182,100211
183,100213
184,100214
185,100215
186,100216
187,100217
188,100218
189,100219
190,100220
191,100221
192,100224
193,100225
194,100226
195,100227
196,100228
197,100229
198,100230
199,100231
200,100233
201,100234
202,100235
203,100236
204,100237
205,100238
206,100239
207,100240
208,100242
209,100243
210,100244
211,100246
212,100247
213,100248
214,100249
215,100250
216,100251
217,100252
218,100254
219,100255
220,100257
221,100258
222,100259
223,100260
224,100261
225,100262
226,100263
227,100264
228,100265
229,100266
230,100267
231,100268
232,100269
233,100270
234,100272
235,100273
236,100274
237,100275
238,100276
239,100277
240,100279
241,100281
242,100282
243,100283
244,100284
245,100285
246,100286
247,100287
248,100288
249,100289
250,100290
251,100291
252,100292
253,100293
254,100294
255,100295
256,100296
257,100297
258,100298
259,100299
260,100300
261,100301
262,100302
263,100303
264,100304
265,100305
266,100307
267,100308
268,100309
269,100310
270,100313
271,100314
272,100315
273,100316
274,100317
275,100318
276,100319
277,100320
278,100321
279,100322
280,100323
281,100324
282,100325
283,100326
284,100327
285,100328
286,100329
287,100332
288,100333
289,100334
290,100335
291,100336
292,100337
293,100338
294,100339
295,100340
296,100341
297,100342
298,100343
299,100344
300,100345
301,100346
302,100347
303,100348
304,100349
305,100350
306,100351
307,100353
308,100354
309,100355
310,100356
311,100357
312,100359
313,100360
314,100361
315,100362
316,100363
317,100364
318,100365
319,100366
320,100368
321,100369
322,100370
323,100371
324,100372
325,100373
326,100374
327,100375
328,100376
329,100377
330,100378
331,100379
332,100380
333,100381
334,100383
335,100387
336,100388
337,100389
338,100390
339,100391
340,100392
341,100393
342,100394
343,100395
344,100396
345,100397
346,100398
347,100400
348,100401
349,100402
350,100403
351,100405
352,100406
353,100407
354,100408
355,100409
356,100410
357,100411
358,100412
359,100413
360,100414
361,100415
362,100417
363,100418
364,100419
365,100420
366,100421
367,100423
368,100424
369,100425
370,100427
371,100428
372,100429
373,100430
374,100431
375,100432
376,100433
377,100434
378,100435
379,100436
380,100437
381,100439
382,100440
383,100441
384,100442
385,100443
386,100448
387,100449
388,100451
389,100452
390,100453
391,100454
392,100455
393,100456
394,100457
395,100458
396,100459
397,100460
398,100461
399,100462
400,100463
401,100464
402,100465
403,100467
404,100468
405,100469
406,100470
407,100471
408,100472
409,100473
410,100474
411,100475
412,100476
413,100477
414,100478
415,100479
416,100480
417,100481
418,100482
419,100485
420,100486
421,100487
422,100488
423,100489
424,100490
425,100491
426,100492
427,100493
428,100495
429,100496
430,100497
431,100498
432,100499
433,100500
434,100501
435,100502
436,100503
437,100504
438,100505
439,100506
440,100507
441,100508
442,100509
443,100511
444,100513
445,100514
446,100515
447,100516
448,100518
449,100519
450,100520
451,100521
452,100522
453,100523
454,100524
455,100525
456,100526
457,100527
458,100528
459,100529
460,100530
461,100531
462,100532
463,100533
464,100534
465,100535
466,100536
467,100537
468,100538
469,100539
470,100540
471,100541
472,100542
473,100543
474,100544
475,100545
476,100546
477,100547
478,100549
479,100550
480,100554
481,100555
482,100556
483,100557
484,100558
485,100559
486,100560
487,100562
488,100563
489,100564
490,100565
491,100566
492,100567
493,100570
494,100571
495,100572
496,100573
497,100574
498,100575
499,100576
500,100577
501,100578
502,100579
503,100580
504,100581
505,100582
506,100583
507,100584
